video_id,path,label,method,compression,split
000,ffpp_c23\original\000.mp4,0,real,c23,train
001,ffpp_c23\original\001.mp4,0,real,c23,train
002,ffpp_c23\original\002.mp4,0,real,c23,train
003,ffpp_c23\original\003.mp4,0,real,c23,val
004,ffpp_c23\original\004.mp4,0,real,c23,train
005,ffpp_c23\original\005.mp4,0,real,c23,train
006,ffpp_c23\original\006.mp4,0,real,c23,test
007,ffpp_c23\original\007.mp4,0,real,c23,train
008,ffpp_c23\original\008.mp4,0,real,c23,train
009,ffpp_c23\original\009.mp4,0,real,c23,train
010,ffpp_c23\original\010.mp4,0,real,c23,train
011,ffpp_c23\original\011.mp4,0,real,c23,val
012,ffpp_c23\original\012.mp4,0,real,c23,train
013,ffpp_c23\original\013.mp4,0,real,c23,train
014,ffpp_c23\original\014.mp4,0,real,c23,train
015,ffpp_c23\original\015.mp4,0,real,c23,train
016,ffpp_c23\original\016.mp4,0,real,c23,train
017,ffpp_c23\original\017.mp4,0,real,c23,train
018,ffpp_c23\original\018.mp4,0,real,c23,train
019,ffpp_c23\original\019.mp4,0,real,c23,train
020,ffpp_c23\original\020.mp4,0,real,c23,train
021,ffpp_c23\original\021.mp4,0,real,c23,train
022,ffpp_c23\original\022.mp4,0,real,c23,train
023,ffpp_c23\original\023.mp4,0,real,c23,train
024,ffpp_c23\original\024.mp4,0,real,c23,train
025,ffpp_c23\original\025.mp4,0,real,c23,test
026,ffpp_c23\original\026.mp4,0,real,c23,train
027,ffpp_c23\original\027.mp4,0,real,c23,test
028,ffpp_c23\original\028.mp4,0,real,c23,train
029,ffpp_c23\original\029.mp4,0,real,c23,train
030,ffpp_c23\original\030.mp4,0,real,c23,test
031,ffpp_c23\original\031.mp4,0,real,c23,train
032,ffpp_c23\original\032.mp4,0,real,c23,test
033,ffpp_c23\original\033.mp4,0,real,c23,train
034,ffpp_c23\original\034.mp4,0,real,c23,train
035,ffpp_c23\original\035.mp4,0,real,c23,train
036,ffpp_c23\original\036.mp4,0,real,c23,train
037,ffpp_c23\original\037.mp4,0,real,c23,train
038,ffpp_c23\original\038.mp4,0,real,c23,train
039,ffpp_c23\original\039.mp4,0,real,c23,train
040,ffpp_c23\original\040.mp4,0,real,c23,train
041,ffpp_c23\original\041.mp4,0,real,c23,train
042,ffpp_c23\original\042.mp4,0,real,c23,train
043,ffpp_c23\original\043.mp4,0,real,c23,train
044,ffpp_c23\original\044.mp4,0,real,c23,test
045,ffpp_c23\original\045.mp4,0,real,c23,train
046,ffpp_c23\original\046.mp4,0,real,c23,test
047,ffpp_c23\original\047.mp4,0,real,c23,train
048,ffpp_c23\original\048.mp4,0,real,c23,val
